Day,corona: (Germany),coronavirus: (Germany),covid19: (Germany),covid: (Germany)
1/27/2020,2,6,0,0
1/28/2020,4,14,0,0
1/29/2020,3,11,0,0
1/30/2020,3,10,0,0
1/31/2020,3,10,0,0
2/1/2020,2,7,0,0
2/2/2020,3,6,0,0
2/3/2020,2,5,0,0
2/4/2020,2,4,0,0
2/5/2020,2,4,0,0
2/6/2020,2,4,0,0
2/7/2020,2,4,0,0
2/8/2020,2,4,0,0
2/9/2020,1,3,0,0
2/10/2020,1,3,0,0
2/11/2020,1,3,<1,<1
2/12/2020,1,3,<1,<1
2/13/2020,2,3,<1,<1
2/14/2020,1,3,<1,<1
2/15/2020,2,3,<1,<1
2/16/2020,1,2,<1,<1
2/17/2020,1,2,<1,<1
2/18/2020,1,2,<1,<1
2/19/2020,1,2,<1,<1
2/20/2020,1,2,<1,<1
2/21/2020,1,2,<1,<1
2/22/2020,2,3,<1,<1
2/23/2020,4,8,<1,<1
2/24/2020,6,10,<1,<1
2/25/2020,10,15,<1,<1
2/26/2020,18,25,<1,<1
2/27/2020,21,28,<1,<1
2/28/2020,26,29,<1,<1
2/29/2020,23,25,<1,<1
3/1/2020,21,23,<1,<1
3/2/2020,23,23,<1,<1
3/3/2020,23,20,<1,<1
3/4/2020,22,20,<1,<1
3/5/2020,25,20,<1,<1
3/6/2020,26,20,<1,<1
3/7/2020,21,19,<1,<1
3/8/2020,27,24,<1,1
3/9/2020,32,26,<1,1
3/10/2020,39,29,<1,1
3/11/2020,49,33,<1,1
3/12/2020,78,40,<1,1
3/13/2020,100,46,<1,2
3/14/2020,93,44,<1,2
3/15/2020,95,45,<1,2
3/16/2020,95,41,<1,2
3/17/2020,88,35,<1,2
3/18/2020,84,34,<1,2
3/19/2020,83,30,<1,2
3/20/2020,84,30,<1,2
3/21/2020,83,30,<1,2
3/22/2020,90,56,<1,2
3/23/2020,69,24,<1,2
3/24/2020,63,21,<1,2
3/25/2020,61,20,<1,2
3/26/2020,58,18,<1,2
3/27/2020,60,19,<1,2
3/28/2020,59,20,<1,2
3/29/2020,56,18,<1,2
3/30/2020,54,16,<1,2
3/31/2020,50,15,<1,2
4/1/2020,50,15,<1,2
4/2/2020,47,15,<1,2
4/3/2020,44,33,<1,2
4/4/2020,45,33,<1,2
4/5/2020,45,33,<1,2
4/6/2020,43,19,<1,2
4/7/2020,40,18,<1,1
4/8/2020,38,17,<1,1
4/9/2020,37,16,<1,1
4/10/2020,36,18,<1,1
4/11/2020,36,18,<1,1
4/12/2020,35,18,<1,1
4/13/2020,38,18,<1,1
4/14/2020,36,15,<1,1
4/15/2020,61,21,<1,1
4/16/2020,45,14,<1,1
4/17/2020,37,12,<1,1
4/18/2020,33,13,<1,1
4/19/2020,34,13,<1,1
4/20/2020,33,11,<1,1
4/21/2020,32,11,<1,1
4/22/2020,32,11,<1,1
4/23/2020,32,11,<1,1
4/24/2020,30,10,<1,1
4/25/2020,29,11,<1,1
4/26/2020,31,11,<1,1
4/27/2020,30,10,<1,1
4/28/2020,31,10,<1,1
4/29/2020,31,10,<1,1
4/30/2020,31,9,<1,1
5/1/2020,28,10,<1,1
5/2/2020,27,10,<1,1
5/3/2020,31,10,<1,1
5/4/2020,30,9,<1,1
5/5/2020,32,9,<1,1
5/6/2020,44,11,<1,1
5/7/2020,36,9,<1,1
5/8/2020,30,8,<1,1
5/9/2020,29,9,<1,1
5/10/2020,30,11,<1,1
5/11/2020,30,9,<1,1
5/12/2020,28,8,<1,1
5/13/2020,27,8,<1,1
5/14/2020,25,7,<1,1
5/15/2020,24,7,<1,1
5/16/2020,24,8,<1,1
5/17/2020,24,8,<1,1
5/18/2020,25,7,<1,1
5/19/2020,23,5,<1,1
5/20/2020,23,4,<1,1
5/21/2020,22,5,<1,1
5/22/2020,20,4,<1,1
