Day,corona,corona virus,covid,covid19,corona(Kor),naver(all)
1/20/2020,<1,<1,0,0,1,3.98529
1/21/2020,<1,1,0,0,1,6.8248
1/22/2020,<1,1,0,0,1,5.83808
1/23/2020,1,1,0,0,4,19.77503
1/24/2020,1,2,0,0,6,17.59853
1/25/2020,1,3,0,0,8,13.06011
1/26/2020,1,3,0,0,8,9.34266
1/27/2020,2,4,0,0,13,12.63128
1/28/2020,3,6,0,0,16,16.34551
1/29/2020,3,5,0,0,14,12.28341
1/30/2020,3,5,0,0,14,11.2671
1/31/2020,3,6,0,0,22,14.95587
2/1/2020,3,5,0,0,18,10.56406
2/2/2020,3,5,0,0,22,10.78952
2/3/2020,2,4,0,0,19,13.25901
2/4/2020,2,4,0,0,16,10.62352
2/5/2020,2,3,0,0,16,9.91126
2/6/2020,2,4,0,0,20,11.52132
2/7/2020,2,4,0,0,16,9.66323
2/8/2020,1,4,0,0,13,10.58244
2/9/2020,2,3,0,0,11,9.45282
2/10/2020,2,3,0,0,11,13.00768
2/11/2020,1,2,0,<1,10,5.87972
2/12/2020,1,2,<1,<1,8,5.72548
2/13/2020,2,3,<1,<1,9,6.13369
2/14/2020,1,2,0,<1,8,5.65858
2/15/2020,1,2,<1,<1,7,3.83854
2/16/2020,1,1,<1,<1,7,3.79301
2/17/2020,1,2,0,<1,8,4.36754
2/18/2020,1,2,<1,<1,14,6.88759
2/19/2020,3,3,<1,<1,31,22.49154
2/20/2020,4,5,<1,<1,50,46.299
2/21/2020,5,8,<1,1,65,67.6283
2/22/2020,7,9,<1,1,71,76.3343
2/23/2020,9,10,<1,1,72,75.98089
2/24/2020,9,9,<1,1,73,92.87614
2/25/2020,8,8,1,1,63,100.0
2/26/2020,8,8,<1,1,58,86.39881
2/27/2020,6,7,<1,1,54,83.05715
2/28/2020,6,6,<1,1,51,78.07453
2/29/2020,6,6,<1,1,47,69.51229
3/1/2020,5,5,<1,1,41,60.38808
3/2/2020,5,5,<1,1,40,73.66427
3/3/2020,4,4,<1,1,36,59.96345
3/4/2020,4,4,<1,1,34,53.30539
3/5/2020,3,4,<1,1,33,46.80031
3/6/2020,3,4,<1,1,31,40.29664
3/7/2020,4,5,<1,1,29,32.90798
3/8/2020,4,5,<1,1,29,31.81569
3/9/2020,4,5,<1,1,31,40.5338
3/10/2020,3,5,<1,1,33,41.78647
3/11/2020,4,5,<1,1,30,37.02205
3/12/2020,5,6,<1,1,32,34.35191
3/13/2020,5,7,<1,1,31,31.96579
3/14/2020,5,7,<1,1,28,24.93969
3/15/2020,5,7,<1,1,27,22.46079
3/16/2020,5,7,1,2,27,29.00615
3/17/2020,4,6,<1,2,27,26.43817
3/18/2020,5,6,<1,1,29,25.7136
3/19/2020,4,6,<1,2,27,24.37355
3/20/2020,5,6,<1,2,25,22.16213
3/21/2020,5,7,<1,1,25,18.83477
3/22/2020,5,7,1,2,26,18.64247
3/23/2020,5,7,1,2,26,21.272
3/24/2020,5,6,<1,2,25,20.57811
3/25/2020,5,7,1,2,25,19.16852
3/26/2020,5,7,<1,2,25,19.05318
3/27/2020,5,8,<1,2,26,19.2317
3/28/2020,5,8,<1,2,25,17.72543
3/29/2020,5,10,<1,2,26,16.20776
3/30/2020,4,8,1,2,27,17.88894
3/31/2020,4,7,<1,2,26,16.9351
4/1/2020,4,7,1,2,26,15.56777
4/2/2020,3,7,<1,2,25,15.93816
4/3/2020,4,8,<1,2,45,15.62765
4/4/2020,4,12,<1,2,100,12.221
4/5/2020,5,12,<1,2,81,11.6956
4/6/2020,3,8,<1,2,30,15.85622
4/7/2020,4,11,<1,2,40,15.96355
4/8/2020,3,9,<1,2,96,15.04408
4/9/2020,3,5,<1,2,94,14.17374
4/10/2020,3,6,<1,2,82,16.06237
4/11/2020,3,5,<1,2,30,13.95963
4/12/2020,3,5,<1,2,46,12.2601
4/13/2020,3,6,<1,2,88,14.27751
4/14/2020,2,6,<1,2,71,13.15704
4/15/2020,3,6,<1,2,43,12.05739
4/16/2020,2,6,<1,2,80,14.80084
4/17/2020,2,7,<1,1,74,12.47518
4/18/2020,3,6,1,2,32,9.63532
4/19/2020,3,6,<1,2,46,10.96803
4/20/2020,2,5,<1,2,80,13.5339
4/21/2020,2,5,<1,1,66,11.23513
4/22/2020,3,4,<1,2,23,11.10468
4/23/2020,2,4,<1,2,22,10.29336
4/24/2020,2,5,<1,1,21,10.18103
4/25/2020,2,5,<1,1,19,8.95183
4/26/2020,2,4,<1,1,22,8.41441
4/27/2020,2,3,<1,1,20,9.51655
4/28/2020,2,3,<1,1,18,8.65209
4/29/2020,2,3,<1,1,18,8.33679
4/30/2020,2,3,<1,1,17,7.34959
5/1/2020,1,3,<1,1,18,7.92426
5/2/2020,2,3,<1,1,17,7.50161
5/3/2020,2,3,<1,1,19,7.61976
5/4/2020,2,3,<1,1,18,8.2487
5/5/2020,2,3,<1,1,17,6.49793
5/6/2020,1,3,<1,1,17,8.15399
5/7/2020,1,3,<1,1,17,8.81645
5/8/2020,2,3,<1,1,21,15.71791
5/9/2020,2,3,<1,1,21,17.8042
5/10/2020,2,3,<1,1,22,18.51865
5/11/2020,2,3,<1,2,23,21.70659
5/12/2020,2,3,<1,1,20,16.60077
5/13/2020,2,2,<1,1,21,16.02513
5/14/2020,2,3,<1,1,20,13.79518
5/15/2020,2,3,<1,2,17,10.66093
5/16/2020,2,3,<1,1,17,7.67324
5/17/2020,2,3,<1,2,15,6.8889
5/18/2020,1,2,<1,1,15,8.44424
5/19/2020,1,2,<1,1,15,7.94543
5/20/2020,1,2,<1,1,15,9.85471
5/21/2020,1,2,<1,2,14,8.92189
5/22/2020,1,2,<1,1,14,8.15162
,,,,,,
,,,,,,
